dt(GPS)	frame	 LO(m)	 AO(rad)
239.9991	1497	0.0712	-0.0265
240.9995	1498	0.0869	-0.0270
240.9995	1499	0.0890	-0.0291
240.9995	1500	0.0897	-0.0306
240.9995	1501	0.0889	-0.0328
240.9995	1502	0.0885	-0.0355
240.9995	1503	0.0876	-0.0367
241.9990	1504	0.0725	-0.0392
241.9990	1505	0.0710	-0.0409
241.9990	1506	0.0700	-0.0415
241.9990	1507	0.0701	-0.0415
241.9990	1508	0.0697	-0.0412
241.9990	1509	0.0686	-0.0426
241.9990	1510	0.0668	-0.0455
242.9989	1511	0.0692	-0.0477
242.9989	1512	0.0684	-0.0496
242.9989	1513	0.0673	-0.0500
242.9989	1514	0.0670	-0.0515
242.9989	1515	0.0681	-0.0527
242.9989	1516	0.0694	-0.0530
243.9988	1517	0.0566	-0.0498
243.9988	1518	0.0598	-0.0472
243.9988	1519	0.0625	-0.0489
243.9988	1520	0.0628	-0.0477
243.9988	1521	0.0617	-0.0481
243.9988	1522	0.0621	-0.0496
244.9998	1523	0.0573	-0.0504
244.9998	1524	0.0582	-0.0461
244.9998	1525	0.0596	-0.0350
244.9998	1526	0.0616	-0.0230
244.9998	1527	0.0624	-0.0187
244.9998	1528	0.0636	-0.0179
245.9992	1529	0.0815	-0.0206
245.9992	1530	0.0794	-0.0232
245.9992	1531	0.0767	-0.0256
245.9992	1532	0.0774	-0.0258
245.9992	1533	0.0811	-0.0251
245.9992	1534	0.0825	-0.0262
246.9993	1535	0.0768	-0.0268
246.9993	1536	0.0749	-0.0283
246.9993	1537	0.0734	-0.0291
246.9993	1538	0.0724	-0.0300
246.9993	1539	0.0730	-0.0300
247.9988	1540	0.0811	-0.0289
247.9988	1541	0.0832	-0.0284
247.9988	1542	0.0848	-0.0280
247.9988	1543	0.0844	-0.0302
247.9988	1544	0.0831	-0.0318
247.9988	1545	0.0835	-0.0332
247.9988	1546	0.0832	-0.0332
248.9989	1547	0.0677	-0.0328
248.9989	1548	0.0680	-0.0305
248.9989	1549	0.0700	-0.0288
248.9989	1550	0.0713	-0.0277
248.9989	1551	0.0719	-0.0271
248.9989	1552	0.0707	-0.0262
249.9991	1553	0.0661	-0.0244
249.9991	1554	0.0685	-0.0218
249.9991	1555	0.0688	-0.0195
249.9991	1556	0.0673	-0.0177
249.9991	1557	0.0673	-0.0161
249.9991	1558	0.0665	-0.0156
250.9988	1559	0.0577	-0.0145
250.9988	1560	0.0593	-0.0126
250.9988	1561	0.0604	-0.0104
250.9988	1562	0.0604	-0.0100
250.9988	1563	0.0578	-0.0109
250.9988	1564	0.0544	-0.0121
251.9992	1565	0.0599	-0.0141
251.9992	1566	0.0603	-0.0152
251.9992	1567	0.0597	-0.0180
251.9992	1568	0.0584	-0.0194
251.9992	1569	0.0583	-0.0220
251.9992	1570	0.0585	-0.0229
252.9986	1571	0.0303	-0.0255
252.9986	1572	0.0291	-0.0272
252.9986	1573	0.0304	-0.0288
252.9986	1574	0.0312	-0.0306
252.9986	1575	0.0307	-0.0332
252.9986	1576	0.0308	-0.0341
253.9989	1577	0.0240	-0.0355
253.9989	1578	0.0237	-0.0365
253.9989	1579	0.0250	-0.0382
253.9989	1580	0.0256	-0.0392
253.9989	1581	0.0263	-0.0373
253.9989	1582	0.0275	-0.0284
254.9989	1583	0.0270	-0.0218
254.9989	1584	0.0266	-0.0191
254.9989	1585	0.0272	-0.0183
254.9989	1586	0.0279	-0.0191
254.9989	1587	0.0286	-0.0186
254.9989	1588	0.0288	-0.0198
255.9992	1589	0.0371	-0.0206
255.9992	1590	0.0384	-0.0209
255.9992	1591	0.0394	-0.0218
255.9992	1592	0.0378	-0.0230
255.9992	1593	0.0370	-0.0211
255.9992	1594	0.0384	-0.0184
256.9989	1595	0.0534	-0.0161
256.9989	1596	0.0546	-0.0139
256.9989	1597	0.0544	-0.0134
256.9989	1598	0.0538	-0.0136
256.9989	1599	0.0538	-0.0146
256.9989	1600	0.0528	-0.0168
257.9991	1601	0.0615	-0.0182
257.9991	1602	0.0639	-0.0180
257.9991	1603	0.0633	-0.0204
257.9991	1604	0.0595	-0.0225
257.9991	1605	0.0558	-0.0231
257.9991	1606	0.0550	-0.0240
258.9993	1607	0.0504	-0.0249
258.9993	1608	0.0484	-0.0257
258.9993	1609	0.0492	-0.0251
258.9993	1610	0.0498	-0.0270
258.9993	1611	0.0495	-0.0291
258.9993	1612	0.0463	-0.0316
259.9989	1613	0.0413	-0.0325
259.9989	1614	0.0449	-0.0331
259.9989	1615	0.0455	-0.0336
259.9989	1616	0.0467	-0.0344
259.9989	1617	0.0483	-0.0350
259.9989	1618	0.0497	-0.0350
260.9987	1619	0.0368	-0.0362
260.9987	1620	0.0377	-0.0368
260.9987	1621	0.0370	-0.0382
260.9987	1622	0.0359	-0.0396
260.9987	1623	0.0351	-0.0403
260.9987	1624	0.0343	-0.0418
261.9995	1625	0.0442	-0.0422
261.9995	1626	0.0456	-0.0437
261.9995	1627	0.0435	-0.0406
261.9995	1628	0.0420	-0.0297
261.9995	1629	0.0428	-0.0173
261.9995	1630	0.0438	-0.0138
262.9996	1631	0.0722	-0.0129
262.9996	1632	0.0709	-0.0143
262.9996	1633	0.0690	-0.0160
262.9996	1634	0.0683	-0.0182
262.9996	1635	0.0679	-0.0202
262.9996	1636	0.0661	-0.0232
263.9987	1637	0.0833	-0.0232
263.9987	1638	0.0879	-0.0224
263.9987	1639	0.0894	-0.0240
263.9987	1640	0.0866	-0.0279
263.9987	1641	0.0821	-0.0320
263.9987	1642	0.0821	-0.0329
264.9991	1643	0.0772	-0.0333
264.9991	1644	0.0786	-0.0361
264.9991	1645	0.0787	-0.0376
264.9991	1646	0.0770	-0.0395
264.9991	1647	0.0772	-0.0400
264.9991	1648	0.0761	-0.0411
265.9987	1649	0.0593	-0.0422
265.9987	1650	0.0633	-0.0419
265.9987	1651	0.0687	-0.0431
265.9987	1652	0.0711	-0.0444
265.9987	1653	0.0681	-0.0467
265.9987	1654	0.0625	-0.0492
266.9994	1655	0.0366	-0.0499
266.9994	1656	0.0368	-0.0503
266.9994	1657	0.0358	-0.0509
266.9994	1658	0.0349	-0.0523
266.9994	1659	0.0349	-0.0526
266.9994	1660	0.0349	-0.0540
266.9994	1661	0.0355	-0.0541
267.9998	1662	0.3257	-0.0536
267.9998	1663	0.3268	-0.0546
267.9998	1664	0.3251	-0.0571
267.9998	1665	0.3241	-0.0580
267.9998	1666	0.3240	-0.0581
267.9998	1667	0.3209	-0.0564
268.9986	1668	0.4793	-0.0545
268.9986	1669	0.4785	-0.0551
268.9986	1670	0.4770	-0.0567
268.9986	1671	0.4775	-0.0561
268.9986	1672	0.4785	-0.0561
268.9986	1673	0.4803	-0.0562
